"TIME","GEO","NRG_BAL","SIEC","UNIT","Value","Flag and Footnotes"
"2009","France","Inland consumption - calculated","Primary solid biofuels","Terajoule","376 442.000",""
"2009","France","Inland consumption - calculated","Biogases","Terajoule","16 232.000",""
"2009","France","Inland consumption - calculated","Renewable municipal waste","Terajoule","50 382.406",""
"2009","Croatia","Inland consumption - calculated","Geothermal","Terajoule","132.000",""
"2009","Croatia","Inland consumption - calculated","Solar thermal","Terajoule","192.000",""
"2009","Croatia","Inland consumption - calculated","Primary solid biofuels","Terajoule","48 867.000",""
"2009","Croatia","Inland consumption - calculated","Biogases","Terajoule","195.000",""
"2009","Croatia","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2009","Italy","Inland consumption - calculated","Geothermal","Terajoule","201 222.000",""
"2009","Italy","Inland consumption - calculated","Solar thermal","Terajoule","3 556.000",""
"2009","Italy","Inland consumption - calculated","Primary solid biofuels","Terajoule","363 728.000",""
"2009","Italy","Inland consumption - calculated","Biogases","Terajoule","17 863.000",""
"2009","Italy","Inland consumption - calculated","Renewable municipal waste","Terajoule","28 721.000",""
"2009","Cyprus","Inland consumption - calculated","Geothermal","Terajoule","15.000",""
"2009","Cyprus","Inland consumption - calculated","Solar thermal","Terajoule","2 425.000",""
"2009","Cyprus","Inland consumption - calculated","Primary solid biofuels","Terajoule","588.000",""
"2009","Cyprus","Inland consumption - calculated","Biogases","Terajoule","209.000",""
"2009","Cyprus","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2009","Latvia","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2009","Latvia","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2009","Latvia","Inland consumption - calculated","Primary solid biofuels","Terajoule","52 620.000",""
"2009","Latvia","Inland consumption - calculated","Biogases","Terajoule","408.000",""
"2009","Latvia","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2009","Lithuania","Inland consumption - calculated","Geothermal","Terajoule","214.000",""
"2009","Lithuania","Inland consumption - calculated","Solar thermal","Terajoule",":",""
"2009","Lithuania","Inland consumption - calculated","Primary solid biofuels","Terajoule","39 352.000",""
"2009","Lithuania","Inland consumption - calculated","Biogases","Terajoule","195.000",""
"2009","Lithuania","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2009","Luxembourg","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2009","Luxembourg","Inland consumption - calculated","Solar thermal","Terajoule","28.750",""
"2009","Luxembourg","Inland consumption - calculated","Primary solid biofuels","Terajoule","1 812.780",""
"2009","Luxembourg","Inland consumption - calculated","Biogases","Terajoule","466.983",""
"2009","Luxembourg","Inland consumption - calculated","Renewable municipal waste","Terajoule","462.150",""
"2009","Hungary","Inland consumption - calculated","Geothermal","Terajoule","4 030.000",""
"2009","Hungary","Inland consumption - calculated","Solar thermal","Terajoule","190.000",""
"2009","Hungary","Inland consumption - calculated","Primary solid biofuels","Terajoule","89 950.000",""
"2009","Hungary","Inland consumption - calculated","Biogases","Terajoule","1 294.000",""
"2009","Hungary","Inland consumption - calculated","Renewable municipal waste","Terajoule","1 930.000",""
"2009","Malta","Inland consumption - calculated","Geothermal","Terajoule",":",""
"2009","Malta","Inland consumption - calculated","Solar thermal","Terajoule","39.000",""
"2009","Malta","Inland consumption - calculated","Primary solid biofuels","Terajoule",":",""
"2009","Malta","Inland consumption - calculated","Biogases","Terajoule",":",""
"2009","Malta","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
"2009","Netherlands","Inland consumption - calculated","Geothermal","Terajoule","142.000",""
"2009","Netherlands","Inland consumption - calculated","Solar thermal","Terajoule","926.000",""
"2009","Netherlands","Inland consumption - calculated","Primary solid biofuels","Terajoule","57 557.000",""
"2009","Netherlands","Inland consumption - calculated","Biogases","Terajoule","10 939.000",""
"2009","Netherlands","Inland consumption - calculated","Renewable municipal waste","Terajoule","32 441.000",""
"2009","Austria","Inland consumption - calculated","Geothermal","Terajoule","1 404.747",""
"2009","Austria","Inland consumption - calculated","Solar thermal","Terajoule","5 047.126",""
"2009","Austria","Inland consumption - calculated","Primary solid biofuels","Terajoule","164 712.060",""
"2009","Austria","Inland consumption - calculated","Biogases","Terajoule","6 479.361",""
"2009","Austria","Inland consumption - calculated","Renewable municipal waste","Terajoule","5 413.606",""
"2009","Poland","Inland consumption - calculated","Geothermal","Terajoule","600.000",""
"2009","Poland","Inland consumption - calculated","Solar thermal","Terajoule","335.000",""
"2009","Poland","Inland consumption - calculated","Primary solid biofuels","Terajoule","217 302.000",""
"2009","Poland","Inland consumption - calculated","Biogases","Terajoule","4 104.000",""
"2009","Poland","Inland consumption - calculated","Renewable municipal waste","Terajoule","29.000",""
"2009","Portugal","Inland consumption - calculated","Geothermal","Terajoule","7 058.000",""
"2009","Portugal","Inland consumption - calculated","Solar thermal","Terajoule","1 460.000",""
"2009","Portugal","Inland consumption - calculated","Primary solid biofuels","Terajoule","119 589.000",""
"2009","Portugal","Inland consumption - calculated","Biogases","Terajoule","996.000",""
"2009","Portugal","Inland consumption - calculated","Renewable municipal waste","Terajoule","4 147.000",""
"2009","Romania","Inland consumption - calculated","Geothermal","Terajoule","986.000",""
"2009","Romania","Inland consumption - calculated","Solar thermal","Terajoule","3.000",""
"2009","Romania","Inland consumption - calculated","Primary solid biofuels","Terajoule","156 687.000",""
"2009","Romania","Inland consumption - calculated","Biogases","Terajoule","45.000",""
"2009","Romania","Inland consumption - calculated","Renewable municipal waste","Terajoule",":",""
