freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
A;FC_E;C0350-0370;KTOE;EL;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;E7000;KTOE;EL;4516.165;4745.486;4870.679;4704.471;4567.498;4453.482;4472.657;4195.271;4256.234;4366.896;4588.392;4640.535
A;FC_E;G3000;KTOE;EL;688.048;707.782;810.877;823.990;781.578;1082.889;971.410;907.545;834.587;968.852;1047.506;1180.074
A;FC_E;H8000;KTOE;EL;56.105;41.488;43.876;48.963;46.360;53.884;45.118;41.511;49.513;49.990;50.970;51.053
A;FC_E;N900H;KTOE;EL;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;EL;13840.673;13752.195;13056.040;12801.729;11427.572;10924.959;9112.129;7928.891;8031.938;8566.953;8616.199;8329.243
A;FC_E;P1000;KTOE;EL;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;RA000;KTOE;EL;1091.717;1287.738;1177.200;1102.369;1157.495;1366.843;1481.657;1322.878;1338.010;1436.539;1285.789;1657.662
A;FC_E;S2000;KTOE;EL;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;EL;20593.657;21068.219;20354.732;19653.105;18282.036;18098.630;16310.219;14608.463;14742.647;15678.203;15815.005;16054.234
A;FC_E;W6100_6220;KTOE;EL;0;0;0;0;0;0;0;0;0;64.536;27.539;0
A;FC_E;C0000X0350-0370;KTOE;ES;752.597;842.064;751.666;594.231;527.002;813.110;524.774;455.930;444.251;432.830;633.965;649.499
A;FC_E;C0350-0370;KTOE;ES;309.224;333.326;327.360;252.778;297.975;309.141;275.088;259.582;224.047;228.394;229.044;236.653
A;FC_E;E7000;KTOE;ES;21162.941;21563.629;21934.136;20617.197;21049.183;20938.005;20657.610;19783.921;19509.630;19951.677;19992.691;20169.475
A;FC_E;G3000;KTOE;ES;15158.491;15706.320;14678.848;13002.580;14347.120;14000.516;14633.964;14786.199;14295.314;13139.402;13445.421;13485.834
A;FC_E;H8000;KTOE;ES;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;N900H;KTOE;ES;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z;: z
A;FC_E;O4000XBIO;KTOE;ES;50187.061;51287.682;48479.705;44722.721;43905.675;40501.531;36598.715;35718.001;35238.816;36716.072;37951.765;38805.804
A;FC_E;P1000;KTOE;ES;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;RA000;KTOE;ES;3990.711;4204.397;4262.504;4746.761;5029.594;5394.897;5755.860;4855.596;5231.116;5490.182;5746.866;6043.198
A;FC_E;S2000;KTOE;ES;0;0;0;0;0;0;0;0;0;0;0;0
A;FC_E;TOTAL;KTOE;ES;91561.026;93937.419;90434.218;83936.267;85156.547;81957.200;78446.010;75859.230;74943.175;75960.969;78005.390;79397.426
A;FC_E;W6100_6220;KTOE;ES;0;0;0;0;0;0;0;0;0;2.412;5.637;6.962
A;FC_E;C0000X0350-0370;KTOE;EU28;32134.154;31635.907;31003.864;27733.951;29550.508;29083.703;28182.101;27405.907;25877.645;25661.740;25567.759;25608.528
A;FC_E;C0350-0370;KTOE;EU28;7113.502;6792.013;6447.838;4615.809;5730.246;5688.435;5727.292;5424.209;5538.899;5558.165;5308.509;5246.598
A;FC_E;E7000;KTOE;EU28;243600.264;245003.961;246103.575;233371.766;244018.049;239882.574;240648.820;238633.924;233014.713;236522.701;239203.120;240585.427
A;FC_E;G3000;KTOE;EU28;265589.245;253303.286;258198.800;241694.943;264167.543;236920.977;245285.762;250886.930;221537.547;229543.462;238146.030;239278.482
A;FC_E;H8000;KTOE;EU28;51601.878;49179.171;49788.902;48613.020;53045.181;48425.326;49531.316;49468.059;45757.119;46266.381;48126.661;48527.923
A;FC_E;O4000XBIO;KTOE;EU28;457450.348;444043.114;440760.006;419121.430;414705.271;400927.773;387804.353;382966.170;379046.665;385571.425;391330.051;394124.752
A;FC_E;P1000;KTOE;EU28;647.261;645.936;645.411;572.715;603.294;575.226;511.371;490.807;483.665;459.105;445.704;432.658
A;FC_E;RA000;KTOE;EU28;63550.861;69376.080;73729.118;78093.747;84100.372;81216.135;86600.749;88451.190;86977.739;91846.921;94449.180;102366.408
A;FC_E;S2000;KTOE;EU28;58.410;80.693;76.089;41.774;40.986;72.999;50.182;40.986;32.872;15.356;9.306;19.062
A;FC_E;TOTAL;KTOE;EU28;1123359.479;1101852.292;1108937.482;1056268.050;1098612.491;1045569.746;1047081.027;1046940.430;1001628.182;1024858.172;1046348.137;1060037.262
A;FC_E;W6100_6220;KTOE;EU28;1613.553;1792.124;2183.886;2408.893;2651.051;2776.600;2739.079;3172.244;3361.317;3412.916;3761.818;3847.426
