;freq;nrg_bal;siec;unit;geo\TIME_PERIOD;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
;A;FC_TRA_E;TOTAL;KTOE;MT;170.273;175.408;191.769;169.390;185.188;183.239;181.194;186.747;185.916;196.712;197.244;208.760
NL;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;NL;48786.000;47871.540;48814.222;47137.073;50751.248;46798.176;47034.288;47181.513;42727.287;44081.396;44681.803;44953.289
;A;FC_IND_E;TOTAL;KTOE;NL;15328.263;15426.418;14874.581;13364.832;14419.115;13868.115;13680.331;13501.617;13236.593;13429.346;13780.902;13844.552
;A;FC_OTH_CP_E;TOTAL;KTOE;NL;7089.839;6831.057;7140.984;7327.902;7846.867;6989.459;7238.700;7267.770;6412.367;6801.042;6694.460;6830.628
;A;FC_OTH_HH_E;TOTAL;KTOE;NL;10856.883;9984.123;11029.261;11033.874;12480.893;10277.765;10879.249;11434.025;9152.404;9592.413;9898.260;9699.192
;A;FC_TRA_E;TOTAL;KTOE;NL;11725.041;11848.382;11961.129;11596.581;11656.504;11786.206;11278.336;10984.586;10261.811;10379.947;10399.097;10674.094
NO;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;NO;18223.233;18597.658;18685.462;18093.847;19423.690;18612.147;18708.749;18755.419;18184.456;18280.467;18615.718;18531.831
;A;FC_IND_E;TOTAL;KTOE;NO;6541.550;6481.272;6606.664;5475.767;6125.333;6112.230;5908.794;5847.999;5762.072;5902.225;5900.185;6042.216
;A;FC_OTH_CP_E;TOTAL;KTOE;NO;2246.802;2444.330;2467.409;2803.437;2797.189;2639.691;2750.349;2794.690;2623.025;2645.163;2863.562;2836.574
;A;FC_OTH_HH_E;TOTAL;KTOE;NO;3815.031;3839.806;3836.885;3995.376;4429.036;3956.566;4149.986;4099.799;3817.923;3987.828;4041.418;4097.127
;A;FC_TRA_E;TOTAL;KTOE;NO;4624.344;4843.561;4782.718;4693.777;4889.512;4718.924;4636.541;4809.076;4843.391;4957.997;4992.761;4632.411
PL;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;PL;59898.936;60075.361;60995.550;60577.862;65237.609;63584.102;63224.264;62057.561;60138.687;60777.493;65032.110;69138.868
;A;FC_IND_E;TOTAL;KTOE;PL;14653.888;15249.796;13982.544;12823.318;13499.290;13961.482;13733.264;14210.705;14153.252;14095.620;14652.420;15841.181
;A;FC_OTH_CP_E;TOTAL;KTOE;PL;7461.947;7111.609;7979.599;8040.534;8836.691;8429.508;8363.910;8078.737;7788.273;7842.255;8502.839;8048.881
;A;FC_OTH_HH_E;TOTAL;KTOE;PL;20469.408;19366.034;19668.123;19977.568;21982.974;20103.955;20779.220;20443.637;18970.203;18948.352;19782.477;19936.050
;A;FC_TRA_E;TOTAL;KTOE;PL;13490.298;14836.247;15723.432;16162.094;17187.318;17408.462;16680.367;15744.034;15804.963;16561.073;18557.186;21431.380
PT;;;;;;;;;;;;;;;;;
;A;FC_E;TOTAL;KTOE;PT;17985.198;18064.989;17522.030;17368.897;17220.708;16395.969;15107.842;14920.620;14803.899;14963.679;15037.276;15275.240
;A;FC_IND_E;TOTAL;KTOE;PT;5767.411;5843.415;5523.427;5211.179;5453.529;5349.444;4606.019;4599.072;4405.956;4412.064;4381.886;4525.728
;A;FC_OTH_CP_E;TOTAL;KTOE;PT;2045.869;2036.764;1945.309;2040.621;1883.197;1855.388;1843.355;1786.895;1900.988;1968.977;1899.924;1898.827
